trend_name,macrotrend,microtrend_level,source_platform,brand_source,region,year,season,color_primary,color_secondary,silhouette_main,silhouette_secondary,texture_main,texture_secondary,pattern_type,material_reference,mood_aesthetic,style_family,gender_focus,formality_level,movement_level,volume_level,sensuality_level,utility_level,romanticism_level,minimalism_level,maximalism_level,commercial_adoption,search_interest,growth_percent,tiktok_presence,pinterest_presence,runway_presence,fast_fashion_presence,description,trend_score
balloon silhouette,organic realism,3,Vogue,Jacquemus,Global,2026,Spring-Summer,soft pink,black,balloon,fluid,minimal fabric,satin,solid,structured textile,editorial elegance,avant-garde,womenswear,high,7,10,4,2,5,6,4,2,0,0,2,3,3,2,"""Rounded oversized silhouettes inspired by fluid movement and sculptural forms.""",1.9
draped elegance,quiet luxury,2,Vogue,Christian Dior,Global,2026,Spring-Summer,ivory,gray,draped,relaxed,pleated,soft knit,solid,lightweight fabric,sophisticated calm,luxury minimalism,womenswear,high,5,6,5,1,4,9,2,3,0,0,1,2,3,3,"""Soft draping and wrapped constructions emphasizing comfort and refinement.""",1.5
fringe motion,artisanal sophistication,3,Vogue,Bottega Veneta,Global,2026,Spring-Summer,white,red,oversized,elongated,fringe,textile strands,solid,textured fabric,dynamic movement,craft aesthetic,unisex,medium,10,5,4,2,6,4,7,2,0,0,2,2,3,2,"""Fringes used to create movement and tactile visual impact.""",1.6999999999999997
3d floral embroidery,organic realism,3,Vogue,Balenciaga,Global,2026,Spring-Summer,cream,red,fitted,romantic,3d flowers,embroidered petals,floral,embroidered textile,romantic couture,romanticism,womenswear,high,4,6,7,1,10,3,8,2,0,0,3,3,3,2,"""Three-dimensional floral textures inspired by natural realism and couture embroidery.""",2.1
feather drama,maximalist fantasy,2,Vogue,Chanel,Global,2026,Spring-Summer,black,red,structured,flowing,feathers,layered texture,organic,luxury textile,theatrical glamour,maximalism,womenswear,high,8,7,8,1,7,2,10,2,0,0,2,3,3,3,"""Feather-inspired garments emphasizing dramatic movement and visual luxury.""",1.9
visible midriff,sensual minimalism,2,Vogue,Hermès,Global,2026,Spring-Summer,beige,black,straight,minimal,knit,smooth fabric,solid,light cotton,confident sensuality,minimal chic,womenswear,medium,3,3,8,2,3,8,2,3,0,0,3,2,2,3,"""Minimal silhouettes exposing the abdomen with elegant restraint.""",1.6
layered volume,romantic volume,2,Vogue,Saint Laurent,Global,2026,Spring-Summer,mustard,white,layered,dramatic,ruffles,structured layers,solid,heavy fabric,editorial romance,dramatic couture,womenswear,high,6,9,5,1,8,2,9,2,0,0,2,3,3,2,"""Tiered and cascading garments creating exaggerated visual volume.""",1.9
quiet luxury,minimalism,3,Google Trends,Zara,Mexico,2026,All Seasons,earth tones,white,relaxed,tailored,smooth fabric,light knit,solid,linen,sophisticated calm,luxury minimalism,unisex,high,2,4,4,3,2,10,1,3,82,150,2,3,2,3,"""Neutral tones and understated elegance dominating commercial fashion.""",26.2
gorpcore,utility wear,3,Google Trends,TikTok,Mexico,2026,All Seasons,olive,gray,oversized,layered,nylon,technical fabric,utility,outdoor textile,functional streetwear,utility fashion,unisex,low,5,6,2,10,1,5,3,3,74,80,3,2,1,3,"""Outdoor-inspired functional fashion adapted into urban styling.""",23.5
coquette aesthetic,romantic revival,4,TikTok,Shein,Mexico,2026,Spring-Summer,pink,white,fitted,mini,laces,ribbons,floral,satin fabric,hyper femininity,romantic internet aesthetic,womenswear,medium,4,4,8,1,10,5,6,4,91,220,4,4,2,4,"""Soft feminine aesthetic dominated by bows",29.5
cottagecore,nature escapism,2,Google Trends,Pinterest,Mexico,2026,Spring-Summer,cream,olive,flowy,relaxed,crochet,linen,floral,natural fibers,rural romanticism,folk aesthetic,womenswear,medium,4,5,4,2,9,4,5,2,63,75,2,4,2,2,"""Nature-inspired nostalgic aesthetic with handmade influences.""",20.7
office siren,corporate sensuality,3,TikTok,Zara,Mexico,2026,All Seasons,black,gray,fitted,tailored,satin,smooth texture,solid,structured fabric,power sensuality,corporate chic,womenswear,high,3,4,9,3,4,8,3,3,78,130,4,3,2,3,"""Sharp officewear silhouettes mixed with sensual styling.""",25.4
mob wife aesthetic,luxury excess,2,TikTok,Shein,Mexico,2026,Fall-Winter,brown,animal print,fitted,dramatic,faux fur,leather,animal print,heavy fabric,opulent drama,maximal luxury,womenswear,high,5,6,9,1,6,2,10,3,58,90,3,2,1,3,"""Exaggerated luxury aesthetic inspired by vintage mafia glamour.""",18.7
